"Country of residence","Star rating","Regions","Periods","Guests (x 1,000)","Overnight stays (x 1,000)"
"All countries","Total","Nederland","2019 October","2,745","4,857"
"All countries","Total","Nederland","2020 October","1,160","1,980"
"All countries","Total","Nederland","2021 October","2,386","4,244"
"All countries","Total","Nederland","2022 October","2,941","5,542"
"All countries","Total","Nederland","2023 October*","2,884","5,626"
"All countries","Accommodations without stars","Nederland","2019 October","223","433"
"All countries","Accommodations without stars","Nederland","2020 October","73","142"
"All countries","Accommodations without stars","Nederland","2021 October","163","336"
"All countries","Accommodations without stars","Nederland","2022 October","289","614"
"All countries","Accommodations without stars","Nederland","2023 October*","243","504"
"All countries","1 star accommodations","Nederland","2019 October","35","65"
"All countries","1 star accommodations","Nederland","2020 October","13","21"
"All countries","1 star accommodations","Nederland","2021 October","29","52"
"All countries","1 star accommodations","Nederland","2022 October","33","59"
"All countries","1 star accommodations","Nederland","2023 October*","28","61"
"All countries","2 star accommodations","Nederland","2019 October","119","229"
"All countries","2 star accommodations","Nederland","2020 October","39","78"
"All countries","2 star accommodations","Nederland","2021 October","104","207"
"All countries","2 star accommodations","Nederland","2022 October","127","265"
"All countries","2 star accommodations","Nederland","2023 October*","151","309"
"All countries","3 star accommodations","Nederland","2019 October","819","1,504"
"All countries","3 star accommodations","Nederland","2020 October","310","551"
"All countries","3 star accommodations","Nederland","2021 October","705","1,288"
"All countries","3 star accommodations","Nederland","2022 October","814","1,551"
"All countries","3 star accommodations","Nederland","2023 October*","725","1,417"
"All countries","4 star accommodations","Nederland","2019 October","1,378","2,349"
"All countries","4 star accommodations","Nederland","2020 October","688","1,127"
"All countries","4 star accommodations","Nederland","2021 October","1,283","2,193"
"All countries","4 star accommodations","Nederland","2022 October","1,556","2,831"
"All countries","4 star accommodations","Nederland","2023 October*","1,569","3,012"
"All countries","5 star accommodations","Nederland","2019 October","171","276"
"All countries","5 star accommodations","Nederland","2020 October","37","60"
"All countries","5 star accommodations","Nederland","2021 October","102","167"
"All countries","5 star accommodations","Nederland","2022 October","123","222"
"All countries","5 star accommodations","Nederland","2023 October*","167","324"
"Source: CBS."